State,Station.No,Long,Lat ,Datum,Site.Name,EPSG
Florida,2251500,-80.52422,27.85613569,NAD83,"NORTH PRONG SAINT SEBASTIAN RIVER NEAR MICCO, FL",4269
New York,1303500,-73.4635556,40.85716667,NAD83,COLD SPRING BROOK AT COLD SPRING HARBOR NY,4269
North Carolina,2093000,-77.5194444,34.84916667,NAD83,"NEW RIVER NEAR GUM BRANCH, NC",4269
